# Ledger of every migration APPLIED to Supabase project fgybyghwcjlstqxkclch,
# and the repository file that represents it. Refresh instructions and the
# meaning of FOLDED: are in docs/db/MIGRATION_INTEGRITY.md.
# version	applied_name	md5(statements)	repo_file
20260811012430	listings_taxonomy_autofill	ee8e22bee76eef2e491c24026fb3f8c1	0061_listings_taxonomy_autofill.sql
20260811013035	subscription_remodel	1b64ae6245f7a68aeb5d9383c03ea729	0062_subscription_remodel.sql
20260811013125	market_delivery_settings	9fb51036d5d241293158a936e6485abd	0063_market_delivery_settings.sql
20260811020412	entitlements_and_plan_security	daba81ec2e643a2c274d49bf471ab5f3	0064_entitlements_and_plan_security.sql
20260811020639	delivery_status_and_buyer_addresses	c1507c82f64e0db886db9b960e192185	0065_delivery_status_and_buyer_addresses.sql
20260811020951	delivery_ordering	0b20186cf077839ba7b4069fcd253868	0066_delivery_ordering.sql
20260811021147	seed_drop_subscriptions	b619329a9ba29ff724147acdc87acdd1	0067_seed_drop_subscriptions.sql
20260811021220	billing_foundation	f72bb91f7d53bc130515f50a1ead5f95	0068_billing_foundation.sql
20260811022917	lock_internal_functions	43eba8ec02c79925de824162d294c42a	0069_lock_internal_functions.sql
20260811023502	seed_sub_snapshot_fix	8fde1eed9606827daa8ad9e686a34487	0070_seed_sub_snapshot_fix.sql
20260811024950	review_fixes	be0afe70eff7f39b6871e42d4b6ab0a1	0071_review_fixes.sql
20260811030124	multi_plot_listings	7ba6da8d899467d605105422cdc7c70d	0072_multi_plot_listings.sql
20260811030409	public_listings_inventory	12c431bbf2dc6db46c126617842cae34	0073_public_listings_inventory.sql
20260811031046	inventory_zero_allowed	0fe5e356f0af8e0487b9d54f71ca1501	0074_inventory_zero_allowed.sql
20260811031938	admin_identity	b806b8d2b2d32847d904539080bc0a47	0075_admin_identity.sql
20260811032029	complimentary_grants_and_effective_plan	29d9b703cf13c37e898671f651b4793f	0076_complimentary_grants.sql
20260811040428	inventory_fulfillment_boardroom	a23803bcacf17a318a14ccdd02dbeab5	0077_inventory_fulfillment_boardroom.sql
20260811041501	security_hardening_adversarial_round	74ad2b5d4552d6c3f6ce167710256a7a	0078_security_hardening.sql
